@relation LaLiga-Matches-csv

@attribute HomeTeam {'La Coruna','Sp Gijon','Ath Bilbao','Ath Madrid',Celta,Espanol,Merida,Sevilla,Valladolid,Vallecano,Zaragoza,Albacete,Barcelona,Betis,'Real Madrid',Compostela,Oviedo,Salamanca,Santander,Sociedad,Tenerife,Valencia,Hercules,Logrones,Extremadura,Mallorca,Alaves,Villareal,Malaga,Numancia,'Las Palmas',Osasuna,Villarreal,Recreativo,Murcia,Getafe,Levante,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Eibar,Cordoba,Leganes,Girona,Huesca}
@attribute AwayTeam {Valencia,Albacete,Santander,Sociedad,Compostela,Salamanca,Betis,Tenerife,Barcelona,'Real Madrid',Oviedo,Sevilla,Merida,Zaragoza,'Ath Bilbao','La Coruna',Vallecano,Celta,'Ath Madrid','Sp Gijon',Espanol,Valladolid,Extremadura,Logrones,Hercules,Mallorca,Villareal,Alaves,Malaga,Numancia,Villarreal,Osasuna,'Las Palmas',Recreativo,Murcia,Levante,Getafe,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Cordoba,Eibar,Leganes,Girona,Huesca}
@attribute HTHG numeric
@attribute HTAG numeric
@attribute FTR {H,A,D}

@data
Sociedad,Zaragoza,1,1,H
'Sp Gijon','La Coruna',1,0,D
Tenerife,'Real Madrid',1,0,H
Barcelona,Compostela,1,0,H
'Real Madrid',Albacete,1,0,H
Zaragoza,Santander,1,2,A
'Ath Bilbao',Valencia,0,0,A
Betis,Salamanca,1,0,H
Celta,Espanol,4,0,H
'La Coruna',Sevilla,2,1,H
Merida,'Ath Madrid',0,0,A
Oviedo,Tenerife,0,1,A
Valladolid,'Sp Gijon',0,0,H
Vallecano,Sociedad,1,0,H
'Sp Gijon',Merida,1,1,H
Tenerife,Betis,1,0,A
Albacete,Oviedo,0,0,A
'Ath Madrid',Zaragoza,1,1,D
Celta,'Ath Bilbao',3,1,H
Compostela,Valencia,0,2,A
Espanol,'La Coruna',0,0,D
Salamanca,Barcelona,1,3,A
Santander,Vallecano,0,0,A
Sevilla,Valladolid,1,0,D
Sociedad,'Real Madrid',1,1,D
'Ath Bilbao',Compostela,0,0,D
Barcelona,Tenerife,2,2,D
Betis,Albacete,2,1,A
'La Coruna',Celta,1,0,H
Merida,Sevilla,2,0,H
'Real Madrid',Santander,0,0,A
Valencia,Salamanca,1,0,H
Valladolid,Espanol,0,0,D
Vallecano,'Ath Madrid',0,1,A
Zaragoza,'Sp Gijon',1,1,D
Oviedo,Sociedad,0,0,D
Albacete,Barcelona,0,0,A
'Ath Madrid','Real Madrid',0,1,A
Celta,Valladolid,1,0,D
Espanol,Merida,0,0,H
'La Coruna','Ath Bilbao',0,0,D
Salamanca,Compostela,0,0,H
Santander,Oviedo,0,0,D
Sevilla,Zaragoza,0,1,D
Sociedad,Betis,0,1,D
'Sp Gijon',Vallecano,2,1,H
Tenerife,Valencia,0,1,H
Barcelona,Sociedad,1,0,H
Oviedo,'Ath Madrid',0,1,D
Zaragoza,Espanol,1,1,D
'Ath Bilbao',Salamanca,1,0,H
Betis,Santander,1,0,D
Compostela,Tenerife,0,2,A
Merida,Celta,1,0,H
'Real Madrid','Sp Gijon',0,1,A
Valencia,Albacete,0,0,H
Valladolid,'La Coruna',2,1,D
Vallecano,Sevilla,0,0,D
Santander,Barcelona,0,1,D
Sevilla,'Real Madrid',0,0,A
Albacete,Compostela,1,0,H
'Ath Madrid',Betis,1,1,D
Celta,Zaragoza,1,0,D
Espanol,Vallecano,1,1,H
'La Coruna',Merida,0,0,H
Sociedad,Valencia,4,0,H
'Sp Gijon',Oviedo,0,1,A
Tenerife,Salamanca,2,0,H
Valladolid,'Ath Bilbao',0,0,D
Barcelona,'Ath Madrid',1,1,A
Valencia,Santander,2,1,H
'Ath Bilbao',Tenerife,1,0,H
Betis,'Sp Gijon',1,3,A
Compostela,Sociedad,1,0,H
Merida,Valladolid,0,0,H
Oviedo,Sevilla,1,0,A
'Real Madrid',Espanol,0,0,A
Salamanca,Albacete,1,2,A
Vallecano,Celta,1,3,A
Zaragoza,'La Coruna',1,2,A
'Ath Madrid',Valencia,1,1,A
Albacete,Tenerife,0,0,D
Celta,'Real Madrid',1,1,D
'La Coruna',Vallecano,0,0,H
Merida,'Ath Bilbao',0,0,H
Santander,Compostela,1,0,H
Sevilla,Betis,1,0,H
Sociedad,Salamanca,1,0,H
